,c_appt_type_code,c_appt_type_desc_chn,c_appt_type_desc,c_appt_type_desc_chn_alt,c_appt_type_desc_alt,check
0,0,正授,Regular Appointment,,,
1,1,權,Provisional Appointment,,,
2,2,行,Lower Acting Appointment,,,
3,3,守,Higher Acting Appointment,,,
4,4,試,Exceptional Acting Appointment,,,
5,5,權發遣,Temporary Appontment,,,
6,6,借,Temporary Higher Office Appointment,,,
7,7,假,Temporary,,,
8,8,添差,Extraordinary Appointment,,,
9,9,添差不釐務,Nominal Extraordinary Appointment,,,
10,10,添差仍釐務,Extraordinary Appointment Serving,,,
11,11,視,Provisional Appointment,,,
12,12,攝,Irregular Appointment,,,
13,20,封,Enfoeffed As,,,
14,21,贈,Granted The Nominal Title Of,,,
15,22,累贈,Granted The Further Nominal Title Of,,,
16,23,卒贈,Granted The Nominal Title At Death,,,
17,24,檢校,Honorary Title,,,
18,25,入内,Eunuch,,,
19,26,追封,Posthumously Enfoeffed,,,
20,27,追贈,Posthumously Granted The Nominal Title Of,,,
21,28,卒封,Enfoeffed At Death As,,,
22,29,累封,Further Enfoeffed As,,,
23,30,襲封,Inherited Enfoeffement As,,,
24,31,署,Acting (or deputy),署理,Acting,
25,32,判,Used When The Official'S Rank Is Higher  Than The Position Expects,,,
26,33,簽書,Used When The Official'S Rank Is Lower Than The Position Expects,,,
27,34,權管勾,Used When The Official'S Rank Is Lower Than The Position Expects,,,
28,35,致仕,Retired,,,
29,36,兼,Concurrent Appointment,兼理;兼署;兼署,,
30,37,恩例,,,,1.0
31,38,進階,,,,
32,39,表,,,,1.0
33,40,蔭襲,,,,1.0
34,41,任,,,,
35,42,誥贈,,,,
36,43,誥封,,,,
37,44,授,,,,
38,45,充,,,,
39,46,遙授,,,,1.0
40,47,賜,,,,
41,48,改,,,,
42,49,特進,,,,
43,50,進階,,,,
44,51,陞,,,,
45,52,追,,,,
46,53,援例,,,,1.0
47,54,敕封,,,,
48,55,贈署,,,,1.0
49,56,進,,,,
50,58,加,,,,
51,59,勅贈,,,,
52,60,例授,,,,1.0
53,61,選,,,,
54,62,調,,,,
55,63,降,,,,
56,64,補,,,,
57,65,差,,,,
58,66,歷,,,,
59,67,歷陞,,,,
60,68,復補,,,,
61,69,復除,,,,
62,70,謫,,,,
63,71,轉,,,,
64,72,復稱,,,,1.0
65,73,復改,,,,
66,74,復,,,,
67,75,改補,,,,
68,76,起,,,,1.0
69,77,調繁,,,,
70,78,擬授,,,,
71,79,左遷,,,,
72,80,超陞,,,,
73,81,降陞,,,,1.0
74,83,蔭,,,,1.0
75,84,復原,,,,
76,85,復調,,,,
77,86,補陞,,,,
78,87,除,,,,
79,88,遷,,,,
80,89,調補,,,,
81,91,降除,,,,
82,92,暫擬,,,,
83,93,暫,,,,
84,94,降補,,,,
85,95,考選,,,,1.0
86,96,擬,,,,
87,97,歷任,,,,
88,98,復起,,,,
89,99,候選,Candidate For A Post,候選,,
90,101,冊封,Grant Of Nobility,,,
91,102,加贈,Additional Posthumous Office,,,
92,103,銜,Brevet Or Nominal Office,坐銜,nominal office,
93,104,捐,Office By Contribution,報捐,,
94,105,晉贈,Posthumous Promotion,,,
95,106,暫署,,,,
96,107,欽封,Enfoeffment By The Emperor,,,
97,108,特贈,Posthumous Office,,,
98,109,襲,Office By Inheritance,,,
99,110,護,,護理,,
100,111,復除,Restored To Previous Office,,,
101,112,捐復,Restored To Position By Contribution,,,
102,113,降襲,,,,
103,114,追復,Restored To Position Posthumously,,,
104,115,行走,Concurrently Serving,,,
105,116,學習行走,Attached On Probation,,,
106,117,額外,Supernumerary,,,
107,118,值年,On Annual Duty,,,
108,119,上,Promoted,,,
109,120,上行走,Superior Concurrently Serving,,,
110,121,行在,Auxiliary (Prefix),,,
111,122,試用,Probationer (Prefix),,,
