index,ID,TableName
0,1,ALTNAME_CODES
1,2,ASSOC_CODE_TYPE_REL
2,3,ASSOC_CODES
3,4,ASSOC_TYPES
4,5,ASSUME_OFFICE_CODES
5,6,BIOG_ADDR_CODES
6,7,BIOG_INST_CODES
7,8,BIOG_INST_DATA
8,9,CHORONYM_CODES
9,10,COUNTRY_CODES
10,11,DATABASE_LINK_CODES
11,12,DATABASE_LINK_DATA
12,13,DYNASTIES
13,14,ENTRY_CODE_TYPE_REL
14,15,ENTRY_TYPES
15,16,ETHNICITY_TRIBE_CODES
16,17,EVENT_CODES
17,18,EXTANT_CODES
18,19,GANZHI_CODES
19,20,KIN_Mourning
20,21,KIN_MOURNING_STEPS
21,22,LITERARYGENRE_CODES
22,23,MEASURE_CODES
23,24,NIAN_HAO
24,25,OCCASION_CODES
25,26,OFFICE_CATEGORIES
26,27,OFFICE_CODE_TYPE_REL
27,31,OFFICE_TYPE_TREE
28,32,PARENTAL_STATUS_CODES
29,33,POSSESSION_ACT_CODES
30,34,SCHOLARLYTOPIC_CODES
31,35,SOCIAL_INSTITUTION_ADDR_TYPES
32,36,SOCIAL_INSTITUTION_CODES
33,37,SOCIAL_INSTITUTION_NAME_CODES
34,38,SOCIAL_INSTITUTION_TYPES
35,39,STATUS_CODE_TYPE_REL
36,40,STATUS_TYPES
37,41,TEXT_BIBLCAT_CODE_TYPE_REL
38,42,TEXT_BIBLCAT_CODES
39,43,TEXT_BIBLCAT_TYPES
40,45,TEXT_TYPE
41,46,YEAR_RANGE_CODES
