index,TableName,NotProcessed
0,ADDR_BELONGS_DATA,0
1,ADDR_CODES,0
2,ALTNAME_CODES,0
3,ALTNAME_DATA,0
4,APPOINTMENT_TYPE_CODES,0
5,ASSOC_CODE_TYPE_REL,0
6,ASSOC_CODES,0
7,ASSOC_DATA,0
8,ASSOC_TYPES,0
9,ASSUME_OFFICE_CODES,0
10,BIOG_ADDR_CODES,0
11,BIOG_ADDR_DATA,0
12,BIOG_INST_CODES,0
13,BIOG_INST_DATA,0
14,BIOG_MAIN,0
15,BIOG_SOURCE_DATA,0
16,BIOG_TEXT_DATA,0
17,CHORONYM_CODES,0
18,COUNTRY_CODES,0
19,DYNASTIES,0
20,ENTRY_CODE_TYPE_REL,0
21,ENTRY_CODES,0
22,ENTRY_DATA,0
23,ENTRY_TYPES,0
24,ETHNICITY_TRIBE_CODES,0
25,EVENT_CODES,0
26,EVENTS_ADDR,0
27,EVENTS_DATA,0
28,EXTANT_CODES,0
29,GANZHI_CODES,0
30,HOUSEHOLD_STATUS_CODES,0
31,KIN_DATA,0
32,KIN_Mourning,0
33,KIN_MOURNING_STEPS,0
34,KINSHIP_CODES,0
35,LITERARYGENRE_CODES,0
36,MEASURE_CODES,0
37,NIAN_HAO,0
38,OCCASION_CODES,0
39,OFFICE_CATEGORIES,0
40,OFFICE_CODE_TYPE_REL,0
41,OFFICE_CODES,0
42,OFFICE_TYPE_TREE,0
43,PARENTAL_STATUS_CODES,0
44,POSSESSION_ACT_CODES,0
45,POSSESSION_ADDR,0
46,POSSESSION_DATA,0
47,POSTED_TO_ADDR_DATA,0
48,POSTED_TO_OFFICE_DATA,0
49,POSTING_DATA,0
50,SCHOLARLYTOPIC_CODES,0
51,SOCIAL_INSTITUTION_ADDR,0
52,SOCIAL_INSTITUTION_ADDR_TYPES,0
53,SOCIAL_INSTITUTION_CODES,0
54,SOCIAL_INSTITUTION_NAME_CODES,0
55,SOCIAL_INSTITUTION_TYPES,0
56,STATUS_CODE_TYPE_REL,0
57,STATUS_CODES,0
58,STATUS_DATA,0
59,STATUS_TYPES,0
60,TEXT_BIBLCAT_CODE_TYPE_REL,0
61,TEXT_BIBLCAT_CODES,0
62,TEXT_BIBLCAT_TYPES,0
63,TEXT_CODES,0
64,TEXT_INSTANCE_DATA,0
65,TEXT_ROLE_CODES,0
66,TEXT_TYPE,0
67,YEAR_RANGE_CODES,0
