index,c_entry_code,c_entry_type
0,0,00
1,1,01
2,4,99
3,5,90
4,7,12
5,8,06
6,12,01
7,13,10
8,14,07
9,15,07
10,16,99
11,20,01
12,21,90
13,22,0503
14,24,01
15,26,0401
16,27,0402
17,28,0403
18,29,0401
19,32,15
20,33,15
21,34,040102
22,36,040101
23,37,040101
24,39,040102
25,42,0401
26,43,0402
27,44,0401
28,46,040102
29,47,040103
30,48,0401
31,50,0501
32,52,0403
33,54,13
34,57,13
35,59,06
36,60,06
37,62,06
38,64,02
39,69,01
40,70,01
41,72,03
42,73,03
43,74,02
44,77,09
45,78,0501
46,80,11
47,83,10
48,90,14
49,91,09
50,92,01
51,94,13
52,96,16
53,96,90
54,101,08
55,105,11
56,107,07
57,109,0503
58,110,0502
59,111,0503
60,112,01
61,113,01
62,114,11
63,116,10
64,118,06
65,124,040101
66,130,0401
67,132,16
68,132,90
69,135,90
70,137,13
71,138,06
72,139,09
73,140,09
74,141,09
75,142,09
76,143,09
77,144,03
78,144,16
79,145,03
80,145,16
81,146,03
82,146,16
83,147,16
84,147,90
85,149,16
86,149,90
87,150,16
88,150,90
89,152,0503
90,153,0503
91,154,0503
92,155,0503
93,156,0502
94,157,0502
95,158,0502
96,159,0502
97,160,0503
98,161,0401
99,162,14
100,163,06
101,164,90
102,166,10
103,168,0401
104,169,0502
105,170,0401
106,171,0501
107,172,0501
108,173,040103
109,173,0501
110,174,0402
111,175,0503
112,176,0503
113,177,0503
114,178,0401
115,179,040102
116,180,0501
117,181,90
118,182,0503
119,183,0502
120,184,0501
121,185,040102
122,186,040102
123,187,040101
124,188,0401
125,189,0501
126,190,90
127,191,040103
128,191,0501
129,192,040103
130,192,0501
131,193,040103
132,193,0501
133,194,02
134,195,02
135,196,0501
136,197,0502
137,198,0502
138,199,0503
139,200,90
140,201,90
141,202,90
142,203,02
143,204,02
144,205,90
145,206,90
146,207,90
147,208,90
148,209,90
149,210,90
150,211,90
151,212,0501
152,213,0501
153,214,90
154,215,90
155,216,0501
156,217,0501
157,218,90
158,219,0404
159,220,0404
160,221,0404
161,222,0402
162,223,14
163,224,14
164,225,0402
165,226,0403
166,227,0403
167,228,0403
168,229,0404
169,230,0403
170,231,0403
171,232,0403
172,233,0403
173,234,0403
174,235,0403
175,236,0403
176,237,0403
177,238,0403
178,239,0403
179,240,0403
180,241,0403
181,242,0403
182,243,0403
183,244,0403
184,245,0403
185,246,0403
186,247,0403
187,248,0403
188,249,0403
189,250,0403
190,251,0403
191,252,0401
192,253,0401
193,254,0401
194,255,0401
195,256,0403
196,257,0403
197,258,0403
198,259,0403
199,260,0403
200,261,0403
201,262,0403
202,263,0403
203,264,0403
204,265,0403
205,266,0403
206,267,0401
207,268,0403
208,269,0403
209,270,0403
210,271,0403
211,272,0403
212,273,0403
213,274,0403
214,275,0403
215,276,0403
216,277,0403
217,278,0403
218,279,0403
219,280,0403
220,281,0403
221,282,0403
222,283,0403
223,284,0403
224,285,0403
225,286,0403
226,287,0403
227,288,0403
228,289,0403
229,290,0403
230,291,0403
231,292,0403
232,293,0403
233,294,0403
234,295,0403
235,296,0403
236,297,0403
237,298,0403
238,299,0403
239,300,0403
240,301,0403
241,302,0403
242,303,0403
243,304,0403
244,305,0403
245,306,0403
246,307,0403
247,308,0403
248,309,0403
249,310,0403
250,311,04
251,312,90
252,313,05
253,314,05
254,315,04
255,316,02
256,317,06
257,318,06
258,319,08
259,320,0501
260,321,90
261,322,90
262,323,05
263,324,0501
264,325,0501
265,326,0501
266,328,0503
267,329,04
268,330,08
269,332,040103
270,334,040101
271,335,05
272,336,90
273,337,90
274,339,90
275,340,02
276,341,02
277,342,90
278,343,0403
