,c_kinrel,c_upstep,c_dwnstep,c_marstep,c_colstep
0,B,0,0,0,1
1,BD,0,1,0,1
2,BS,0,1,0,1
3,BSD,0,2,0,1
4,BSS,0,2,0,1
5,BSSD,0,3,0,1
6,BSSS,0,3,0,1
7,BSSSW,0,3,1,1
8,BSSW,0,2,1,1
9,BSW,0,1,1,1
10,BW,0,0,1,1
11,D,0,1,0,0
12,DD,0,2,0,0
13,DH,0,1,1,0
14,DS,0,2,0,0
15,DSD,0,3,0,0
16,DSS,0,3,0,0
17,DSW,0,2,1,0
18,F,1,0,0,0
19,FB,1,0,0,1
20,FBD,1,1,0,1
21,FBS,1,1,0,1
22,FBSD,1,2,0,1
23,FBSS,1,2,0,1
24,FBSSD,1,3,0,1
25,FBSSS,1,3,0,1
26,FBSSSW,1,3,1,1
27,FBSSW,1,2,1,1
28,FBSW,1,1,1,1
29,FBW,1,0,1,1
30,FF,2,0,0,0
31,FFB,2,0,0,1
32,FFBD,2,1,0,1
33,FFBS,2,1,0,1
34,FFBSD,2,2,0,1
35,FFBSS,2,2,0,1
36,FFBSSD,2,3,0,1
37,FFBSSS,2,3,0,1
38,FFBSSSW,2,3,1,1
39,FFBSSW,2,2,1,1
40,FFBSW,2,1,1,1
41,FFBW,2,0,1,1
42,FFF,3,0,0,0
43,FFFB,3,0,0,1
44,FFFBD,3,1,0,1
45,FFFBS,3,1,0,1
46,FFFBSD,3,2,0,1
47,FFFBSS,3,2,0,1
48,FFFBSSD,3,3,0,1
49,FFFBSSS,3,3,0,1
50,FFFBSSSW,3,3,1,1
51,FFFBSSW,3,2,1,1
52,FFFBSW,3,1,1,1
53,FFFBW,3,0,1,1
54,FFFF,4,0,0,0
55,FFFM,4,0,0,0
56,FFFZ,3,0,0,1
57,FFM,3,0,0,0
58,FFZ,2,0,0,1
59,FM,2,0,0,0
60,FZ,1,0,0,1
61,FZS,1,1,0,1
62,FZSS,1,2,0,1
63,H,0,0,1,0
64,HB,0,0,1,1
65,HBD,0,1,1,1
66,HBS,0,1,1,1
67,HBSD,0,2,1,1
68,HBSS,0,2,1,1
69,HBSSD,0,3,1,1
70,HBSSS,0,3,1,1
71,HBSSSW,0,3,2,1
72,HBSSW,0,2,2,1
73,HBSW,0,1,2,1
74,HBW,0,0,2,1
75,HF,1,0,1,0
76,HFB,1,0,1,1
77,HFBD,1,1,1,1
78,HFBS,1,1,1,1
79,HFBSD,1,2,1,1
80,HFBSS,1,2,1,1
81,HFBSSD,1,3,1,1
82,HFBSSS,1,3,1,1
83,HFBSSSW,1,3,2,1
84,HFBSSW,1,2,2,1
85,HFBSW,1,1,2,1
86,HFBW,1,0,2,1
87,HFF,2,0,1,0
88,HFFB,2,0,1,1
89,HFFBD,2,1,1,1
90,HFFBS,2,1,1,1
91,HFFBSD,2,2,1,1
92,HFFBSS,2,2,1,1
93,HFFBSSD,2,3,1,1
94,HFFBSSS,2,3,1,1
95,HFFBSSSW,2,3,2,1
96,HFFBSSW,2,2,2,1
97,HFFBSW,2,1,2,1
98,HFFBW,2,0,2,1
99,HFFF,3,0,1,0
100,HFFFB,3,0,1,1
101,HFFFBD,3,1,1,1
102,HFFFBS,3,1,1,1
103,HFFFBSD,3,2,1,1
104,HFFFBSS,3,2,1,1
105,HFFFBSSD,3,3,1,1
106,HFFFBSSS,3,3,1,1
107,HFFFBSSSW,3,3,2,1
108,HFFFBSSW,3,2,2,1
109,HFFFBSW,3,1,2,1
110,HFFFBW,3,0,2,1
111,HFFFF,4,0,1,0
112,HFFFM,4,0,1,0
113,HFFFZ,3,0,1,1
114,HFFM,3,0,1,0
115,HFFZ,2,0,1,1
116,HFM,2,0,1,0
117,HFZ,1,0,1,1
118,HM,1,0,1,0
119,HZ,0,0,1,1
120,M,1,0,0,0
121,MB,1,0,0,1
122,MBS,1,1,0,1
123,MBSS,1,2,0,1
124,MF,2,0,0,0
125,MFBDS,2,2,0,1
126,MFBSS,2,2,0,1
127,MFF,3,0,0,0
128,MFM,3,0,0,0
129,MM,2,0,0,0
130,MZ,1,0,0,1
131,MZS,1,1,0,1
132,MZSS,1,2,0,1
133,S,0,1,0,0
134,SD,0,2,0,0
135,SS,0,2,0,0
136,SSD,0,3,0,0
137,SSS,0,3,0,0
138,SSSD,0,4,0,0
139,SSSS,0,4,0,0
140,SSSSW,0,4,1,0
141,SSSW,0,3,1,0
142,SSW,0,2,1,0
143,SW,0,1,1,0
144,W,0,0,1,0
145,WB,0,0,1,1
146,WBS,0,1,1,1
147,WBW,0,0,2,1
148,WF,1,0,1,0
149,WFB,1,0,1,1
150,WFF,2,0,1,0
151,WFM,2,0,2,0
152,WFZ,1,0,1,1
153,WM,1,0,1,0
154,WMF,2,0,1,0
155,WMM,2,0,1,0
156,WZ,0,0,1,1
157,WZS,0,1,1,1
158,Z,0,0,0,1
