,c_text_cat_code,c_text_cat_type_id
0,0,0110000
1,1,0110400
2,2,0110205
3,3,0110213
4,4,0110213
5,5,0110213
6,6,0110215
7,7,0110314
8,8,0110210
9,9,0110210
10,10,0110302
11,11,0110211
12,13,0110213
13,14,0110210
14,15,0110210
15,17,0110100
16,18,0110101
17,19,0110102
18,20,0110103
19,21,0110104
20,22,0110104
21,23,0110104
22,24,0110104
23,25,0110104
24,26,0110105
25,27,0110106
26,28,0110106
27,29,0110106
28,30,0110106
29,31,0110107
30,32,0110107
31,33,0110107
32,34,0110107
33,35,0110107
34,36,0110108
35,38,0110110
36,39,0110111
37,40,0110201
38,41,0110203
39,42,0110204
40,43,0110202
41,45,0110206
42,46,0110207
43,47,0110208
44,48,0110209
45,49,0110211
46,50,0110211
47,51,0110212
48,52,0110213
49,53,0110213
50,54,0110214
51,55,0110301
52,56,0110302
53,57,0110302
54,58,0110303
55,59,0110301
56,60,0110301
57,61,0110301
58,62,0110301
59,63,0110301
60,64,0110305
61,65,0110306
62,66,0110307
63,67,0110308
64,68,0110309
65,69,0110310
66,70,0110311
67,71,0110312
68,72,0110313
69,73,0110313
70,74,0110313
71,75,0110400
72,76,0110400
73,77,0110400
74,78,0110400
75,79,0110211
76,80,0110211
77,81,0110107
78,82,0110109
79,83,0110110
80,84,0110110
81,85,0110110
82,86,0110110
83,87,0110205
84,88,0110205
85,89,0110215
86,90,0110215
87,91,0110215
88,92,0110215
89,93,0110215
90,94,0110215
91,95,0110215
92,96,0110215
93,97,0110215
94,98,0110215
95,99,0110209
96,100,0110209
97,101,0110209
98,102,0110209
99,103,0110211
100,104,0110211
101,105,0110211
102,106,0110211
103,107,0110211
104,108,0110211
105,109,0110211
106,110,0110211
107,111,0110214
108,112,0110214
109,113,0110214
110,114,0110214
111,115,0110214
112,116,0110214
113,117,0110213
114,118,0110213
115,119,0110301
116,120,0110301
117,121,0110301
118,122,0110301
119,123,0110301
120,124,0110303
121,125,0110303
122,126,0110302
123,127,0110304
124,128,0110304
125,130,0110304
126,131,0110304
127,132,0110304
128,133,0110304
129,134,0110304
130,135,0110304
131,136,0110304
132,137,0110304
133,138,0110304
134,139,0110210
135,140,0110210
136,141,0110210
137,142,0110313
138,144,0110300
139,145,0110300
140,146,0110300
141,147,0110300
142,148,0110400
143,150,0110200
